SN,Author,Year,Title,Database
267,"Neto, A J V",2018,Fog-Based Crime-Assistance in Smart IoT Transportation System,IEEE
268,"Zhuang, Y",2017,Crime Hot Spot Forecasting: A Recurrent Model with Spatial and Temporal Information,IEEE
269,"Kshatri, S S",2021,An Empirical Analysis of Machine Learning Algorithms for Crime Prediction Using Stacked Generalization: An Ensemble Approach,IEEE
270,"Esquivel, N",2020,Spatio-Temporal Prediction of Baltimore Crime Events Using CLSTM Neural Networks,IEEE
271,"Chitrakar, P",2016,Social Media Image Retrieval Using Distilled Convolutional Neural Network for Suspicious e-Crime and Terrorist Account Detection,IEEE
272,"Ku, C -H.",2012,TASC - Crime report visualization for investigative analysis: A case study,IEEE
273,"Khan, A",2010,Digital Forensics and Crime Investigation: Legal Issues in Prosecution at National Level,IEEE
274,"Zancajo-Blázquez, S",2015,Segmentation of Indoor Mapping Point Clouds Applied to Crime Scenes Reconstruction,IEEE
275,"Tayebi, M A",2011,Organized Crime Structures in Co-offending Networks,IEEE
276,"Nikhila, M S",2020,Text Imbalance Handling and Classification for Cross- platform Cyber-crime Detection using Deep Learning,IEEE
277,"Lourenço, V",2018,Towards Safer (Smart) Cities: Discovering Urban Crime Patterns Using Logic-based Relational Machine Learning,IEEE
278,"Aggarwal, S",2008,E-Crime Investigative Technologies,IEEE
279,"Norouzi, Y",2022,"Spatial, Temporal, and Semantic Crime Analysis Using Information Extraction From Online News",IEEE
280,"Yu, X",2021,FIGAT: Accurately Predict Individual Crime Risks with Multi-information Fusion,IEEE
281,"Tajuddin, T",2019,Crime Suspect Profiling (CSP) for Forensic Investigation on Smartphone,IEEE
282,"Valle, J M do",2020,Big Data Platform for Analysing Crime Evidences,IEEE
283,"Xu, W",2022,FIGAT: Accurately Classify Individual Crime Risks with Multi-information Fusion,IEEE
284,"Buenafe, K Q",2004,Preliminary study of information sharing technology adoption by crime analysts,IEEE
285,"Wahrstätter, A",2023,Improving Cryptocurrency Crime Detection: CoinJoin Community Detection Approach,IEEE
286,"Sarno, R",2015,Business process anomaly detection using ontology-based process modelling and Multi-Level Class Association Rule Learning,IEEE
287,"Rahmawati, D",2017,Fraud detection on event log of bank financial credit business process using Hidden Markov Model algorithm,IEEE
288,"Rahmawati, D",2017,Scalable attack analysis of business process based on decision mining classification,IEEE
289,"Hung, Yi-Hsuan",2003,Constructing auditing rules from ERP system: a business process flow approach,IEEE
290,"Patil, S",2022,Know Your Customer (KYC) as a service for Business Process Management (BPM) using Cloud Computing,IEEE
291,"Elgammal, A",2015,Lifecycle Business Process Compliance Management: A Semantically-Enabled Framework,IEEE
292,"Liu, X",2008,Research on Constraints in Anti-Money Laundering (AML) Business Process in China Based on Theory of Constraints,IEEE
293,"Wolter, C",2007,Collaborative Workflow Management for eGovernment,IEEE
294,"Muhsin, Z J",2008,A distributed workflow management system utilizing computational intelligence for decision support,IEEE
295,"Singh, B",2022,The performance optimization of Video surveillance systems are based on a workflow monitoring model in commercial organizational networks,IEEE
296,"Loo, Y L",2016,Workflow analysis for self-adaptive agent-based simulation model,IEEE
297,"Samant, P",2023,3-D Protoacoustic Imaging Through a Planar Ultrasound Array: A Simulation Workflow,IEEE
298,"Aye, T T",2017,Layman Analytics System: A Cloud-Enabled System for Data Analytics Workflow Recommendation,IEEE
299,"Braekt, R I de",2016,Increasing digital investigator availability through efficient workflow management and automation,IEEE
300,"Bhattacharjee, K",2022,PRIVEE: A Visual Analytic Workflow for Proactive Privacy Risk Inspection of Open Data,IEEE
301,"Plohmann, D",2013,Patterns of a cooperative malware analysis workflow,IEEE
302,"McDermott, Patrick",2008,"Workflow Modeling: Tools for Process Improvement and Applications, Second Edition",IEEE
303,"Schael, Thomas",1993,Workflow Management Systems for Financial Services,ACM
304,"Lubis, Muharman",2021,User Experience Design in E-Consultation on General Legal Criminals: The Utilization of Alternative Design,ACM
305,"de Vreede, Gert-Jan",1995,Facilitating User Involvement in Information System Design and Development with GSS: The Organized Crime Case,ACM
306,"Belesiotis, Alexandros",2018,Analyzing and Predicting Spatial Crime Distribution Using Crowdsourced and Open Data,ACM
307,"Bitan, Dor",2022,Using Zero-Knowledge to Reconcile Law Enforcement Secrecy and Fair Trial Rights in Criminal Cases,ACM
308,"Coscia, Michele",2012,Knowing Where and How Criminal Organizations Operate Using Web Content,ACM
309,"Poelman, Ronald",2012,As If Being There: Mediated Reality for Crime Scene Investigation,ACM
310,"Jensen, Kasper L",2012,Toward an MPolicing Solution for Namibia: Leveraging Emerging Mobile Platforms and Crime Mapping,ACM
311,"Capodieci, Antonio",2019,Business Process Awareness to Support GDPR Compliance,ACM
312,"Awad, Ahmed",2015,Runtime Detection of Business Process Compliance Violations: An Approach Based on Anti Patterns,ACM
313,"Tavares, Gabriel Marques",2018,Anomaly Detection in Business Process Based on Data Stream Mining,ACM
314,"Balan, Eran",2010,BP-Ex: A Uniform Query Engine for Business Process Execution Traces,ACM
315,"Rime, Jemily",2022,How Do You Pod? A Study Revealing the Archetypal Podcast Production Workflow,ACM
316,"Thomer, Andrea K",2022,The Craft and Coordination of Data Curation: Complicating Workflow Views of Data Science,ACM
317,"Fogliato, Riccardo",2022,Who Goes First? Influences of Human-AI Workflow on Decision Making in Clinical Imaging,ACM
318,"Alhuzali, Abeer",2016,Chainsaw: Chained Automated Workflow-Based Exploit Generation,ACM
